oil,phs_charge,biomass,nuclear,peat,reservoir,lignite,gas,hardcoal,phs_discharge,country
1.0,0.6227867628763382,0.8,0.07056845151953699,1.0,1.0,1.0,0.2682759777589298,0.2154970314576867,0.6227867628763382,UK00
0.3376063907044286,0.8266666666666665,1.0,1.0,0.30089051094890595,1.0,1.0,0.1640099618482402,0.29158832188420003,0.7233372093023257,IE00
0.2436321684587876,0.5036027104508726,0.8,0.11804509277402818,1.0,0.46919960861056836,0.1521775745581116,0.16113123578686828,0.18076982287812912,0.46633973479652574,DELU
1.0,1.0,1.0,0.04271630042636936,1.0,0.21845966802562694,1.0,1.0,1.0,1.0,SE02
1.0,1.0,1.0,1.0,1.0,0.2244038406420182,1.0,0.3333333333333333,1.0,1.0,NOM1
0.9420355029585813,0.8530282776349618,0.8,0.08712798779454158,1.0,1.0,1.0,0.21771134020618796,1.0,0.8366557971014507,BE00
1.0,1.0,1.0,1.0,1.0,0.2319348030018807,1.0,0.21170434782608302,1.0,1.0,NON1
0.1061297071129698,1.0,0.8,1.0,1.0,1.0,1.0,0.266697860962569,0.3258927887683489,1.0,DKW1
1.0,1.0,0.8,1.0,0.3333333333333333,1.0,1.0,0.20192307692307693,1.0,1.0,EE00
1.0,1.0,1.0,0.04271630042636936,1.0,0.21845966802562694,1.0,1.0,1.0,1.0,SE01
1.0,1.0,1.0,0.04271630042636936,1.0,0.21845966802562694,1.0,1.0,1.0,1.0,SE03
0.21975736325386191,0.695404586636468,0.8,0.04343305753047659,1.0,0.3706894297130409,1.0,0.21167946156273088,0.22465331069609487,0.6635026346604241,FR00
1.0,1.0,1.0,0.04271630042636936,1.0,0.21845966802562694,1.0,1.0,1.0,1.0,SE04
0.5863686274509996,1.0,0.8,1.0,1.0,1.0,1.0,0.32693706293706576,0.2116720430107532,1.0,DKE1
1.0,1.0,1.0,1.0,1.0,0.21329180678691664,1.0,0.35714285714285715,1.0,1.0,NOS0
0.6190476190476191,0.725752508361204,0.8,1.0,1.0,1.0,1.0,0.45232400000000417,1.0,0.6959483870967761,LT00
1.0,1.0,0.8,0.31846118928733574,1.0,1.0,1.0,0.8383015557222533,0.962283768444949,1.0,NL00
1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.20989026915113956,1.0,1.0,LV00
0.10175438596491228,0.5623459637561795,0.8,1.0,1.0,0.8793103448275862,0.1822845199216202,0.22342495479204466,0.12068314121037492,0.5623459637561795,PL00
